"AUD","HUF","JPY","NOK","SEK","GBP"
1.7072,243.85,117.24,7.914,9.2175,0.6156
1.7015,243.75,118.53,7.903,9.2422,0.6184
1.7013,243.4,118.72,7.9225,9.2868,0.6203
1.6976,243.5,117.95,7.876,9.2355,0.6169
1.6805,243.35,116.35,7.857,9.2463,0.6126
1.6679,243.21,114.91,7.8395,9.2275,0.6096
1.677,243.05,114.94,7.8405,9.2251,0.6106
1.7074,243.49,114.69,7.8535,9.209,0.611
1.6976,243.32,114.73,7.841,9.17,0.6111
1.6933,243,115.66,7.8405,9.188,0.61
1.693,243.85,115.22,7.8375,9.2148,0.6097
1.6993,244.34,115.68,7.855,9.2574,0.6115
1.7067,243.85,115.55,7.829,9.213,0.6122
1.707,244.95,115.74,7.802,9.229,0.6149
1.7125,243.95,117.46,7.8315,9.2601,0.6183
1.7141,243.45,117.76,7.836,9.2598,0.6176
1.721,243.75,116.95,7.832,9.25,0.6136
1.719,242.9,115.65,7.827,9.2303,0.6102
1.6864,241.95,114.91,7.7795,9.1915,0.6093
1.6833,240.55,115.61,7.764,9.1788,0.6095
1.684,241.34,115.68,7.7475,9.1955,0.6098
1.683,243.07,116.3,7.7485,9.1922,0.6101
1.6903,243.65,116.9,7.7635,9.194,0.6114
1.6883,243.15,116.79,7.7375,9.1314,0.6105
1.6975,243.75,117.07,7.762,9.1548,0.6117
1.6995,243.51,116.66,7.753,9.11,0.6114
1.6891,244.08,116.38,7.735,9.0649,0.6092
1.6832,245.51,116.6,7.713,9.0779,0.61
1.6761,245.63,116.07,7.712,9.0625,0.6111
1.6783,245.55,115.69,7.706,9.089,0.6103
1.662,244.62,114.4,7.6915,9.065,0.6097
1.6692,243.92,114.46,7.6885,9.041,0.6109
1.6743,244.29,114.86,7.7065,9.04,0.6125
1.673,244.85,112.96,7.712,9.0665,0.6165
1.6785,246.12,112.5,7.72,9.0675,0.6162
1.6785,244.55,112.52,7.726,9.084,0.6153
1.681,244.9,112.4,7.7165,9.0852,0.6177
1.681,245.85,113.02,7.7455,9.12,0.6192
1.688,245.83,113.25,7.7645,9.1335,0.6209
1.6879,245.96,114.12,7.7675,9.133,0.6213
1.6793,245.35,115.31,7.7485,9.0771,0.6174
1.6837,245.33,115.97,7.7395,9.0689,0.6181
1.6638,244.41,115.72,7.7155,9.0284,0.6196
1.6619,244.26,116.56,7.699,9.0139,0.618
1.6536,244.25,116.76,7.693,9.0175,0.6169
1.6477,244.15,116.66,7.7025,9.0038,0.6135
1.6529,244.1,116.32,7.709,9.0015,0.6138
1.6569,243.75,115.92,7.711,9.0221,0.6139
1.6382,243.54,115.51,7.703,9.0304,0.613
1.6464,243.48,117.2,7.6965,9.0231,0.6109
1.6572,242.96,116.87,7.6675,9.0632,0.6121
1.6567,242.1,116.68,7.6455,9.0752,0.6139
1.6531,243.25,115.98,7.646,9.0311,0.6125
1.6626,243.02,115.61,7.632,9.0561,0.6118
1.655,242.71,115.29,7.634,9.0806,0.6123
1.6576,242.49,114.74,7.641,9.0922,0.6123
1.6451,241.35,115.8,7.623,9.0867,0.6127
1.6455,242,116.28,7.6235,9.098,0.6125
1.6525,241.35,115.79,7.614,9.1096,0.6124
1.6582,241.85,115.73,7.633,9.1453,0.6126
1.6524,242.15,115.97,7.6375,9.1438,0.6148
1.6528,241.85,116.09,7.634,9.1535,0.6154
1.6464,242.25,115.92,7.604,9.1671,0.6144
1.6464,241.76,115.36,7.6095,9.208,0.6138
1.6492,240.75,115.42,7.5925,9.1913,0.6132
1.6475,240.73,115.43,7.6235,9.1707,0.615
1.6471,242.92,115.27,7.585,9.2307,0.6178
1.6507,242.85,115.22,7.5745,9.231,0.6177
1.6689,242.55,115.69,7.5745,9.24,0.6186
1.6772,243.15,115.66,7.573,9.254,0.6188
1.6824,243.37,115.51,7.557,9.2685,0.6179
1.6876,244.32,115.55,7.5645,9.2645,0.6192
1.6982,243.63,116.34,7.587,9.2753,0.623
1.6867,243.65,116.97,7.623,9.3725,0.623
1.678,242.98,116.86,7.5815,9.312,0.6227
1.6753,243.99,116.6,7.58,9.3086,0.6221
1.677,244.35,116.6,7.5645,9.3055,0.6239
1.6686,243.95,116.42,7.548,9.343,0.6244
1.6596,244.62,116.17,7.5475,9.2895,0.624
1.6533,243.62,115.83,7.536,9.213,0.6228
1.661,244.45,116.3,7.541,9.2315,0.6253
1.6605,245.06,115.65,7.545,9.219,0.6279
1.6684,245.98,115.59,7.551,9.2125,0.6302
1.6591,245.86,115.02,7.536,9.1733,0.6321
1.6598,243.07,115.15,7.505,9.1694,0.634
1.6598,242.35,115.28,7.483,9.1273,0.6323
1.6578,242.91,114.94,7.4435,9.1128,0.6327
1.6516,242.45,114.83,7.44,9.1416,0.6318
1.6503,243.22,115.31,7.404,9.1392,0.6344
1.6494,243.75,115.87,7.406,9.1575,0.6373
1.66,243.34,115.76,7.434,9.1133,0.6395
1.6514,242.6,116.39,7.478,9.107,0.6405
1.6424,242.29,115.67,7.4385,9.0748,0.6402
1.64,242.63,116.44,7.4435,9.1451,0.645
1.636,241.68,116.55,7.4035,9.1268,0.643
1.6401,240.52,117.13,7.389,9.152,0.6438
1.6482,241.52,117.56,7.443,9.2247,0.6465
1.6583,241.6,117.93,7.4255,9.2104,0.6473
1.6623,241.16,118.14,7.424,9.1515,0.643
1.6594,241.25,118.73,7.413,9.1678,0.6431
1.6568,241.29,118.24,7.413,9.1413,0.6404
1.672,241.96,117.75,7.4155,9.1664,0.642
1.6899,242.33,117.1,7.415,9.0785,0.6386
1.6836,242.94,118.13,7.421,9.0588,0.6393
1.6891,243.42,118.37,7.376,9.078,0.6408
1.686,243.65,118.68,7.3505,9.0585,0.6422
1.6831,244.28,117.92,7.376,9.0445,0.6444
1.6952,244.45,118.62,7.4005,9.0978,0.6501
1.7026,243.44,118.2,7.345,9.0245,0.6464
1.727,244.5,118.54,7.365,9.0965,0.6491
1.743,244.45,118.07,7.398,9.0736,0.646
1.7702,244.93,118.2,7.4305,9.1015,0.6498
1.7667,244.13,118.72,7.414,9.079,0.6469
1.7563,244.32,118.51,7.3535,9.0441,0.6432
1.7526,245.15,117.44,7.3415,9.1293,0.6421
1.7608,248.55,117.46,7.3225,9.1285,0.6414
1.745,250.05,116.98,7.307,9.1253,0.6412
1.7445,251.18,116.8,7.305,9.1587,0.6422
1.7536,253.6,117.32,7.3095,9.185,0.6425
1.7405,252.23,116.7,7.296,9.2402,0.6396
1.766,249.1,115.43,7.285,9.2757,0.6379
1.7647,246.53,115.62,7.329,9.228,0.6382
1.7839,246.55,116.22,7.357,9.24,0.6413
1.8054,247.55,117.18,7.3725,9.304,0.6438
1.8143,246.37,117.39,7.3775,9.3234,0.6432
1.8225,244.85,117.7,7.381,9.278,0.6428
1.8271,244.8,117.74,7.438,9.3665,0.643
1.8243,244.9,117.33,7.482,9.4794,0.6411
1.823,244.74,116.37,7.548,9.4645,0.6329
1.8494,246.35,115.72,7.5485,9.5451,0.6331
1.8495,244.45,116.8,7.547,9.4182,0.636
1.8548,245.05,117.55,7.563,9.4421,0.6337
1.8213,244.45,117.42,7.505,9.262,0.6285
1.8055,244.4,117.64,7.505,9.2235,0.6294
1.7885,245.2,117.42,7.427,9.2445,0.6261
1.8121,244.95,116.94,7.449,9.3205,0.6274
1.8277,245.97,117.62,7.5075,9.4737,0.6295
1.8327,245.05,117.1,7.528,9.4471,0.6297
1.8391,244.08,117.12,7.5,9.3565,0.6279
1.8206,244.5,116.89,7.508,9.3125,0.6311
1.8113,244.65,116.92,7.478,9.2955,0.6335
1.8153,244.16,117.17,7.4635,9.312,0.6355
1.8083,244.69,116.53,7.466,9.282,0.6386
1.8217,245.11,116.54,7.4495,9.259,0.6391
1.8312,246.67,114.9,7.448,9.2853,0.6394
1.8069,245.78,114.82,7.429,9.2153,0.6381
1.802,246.45,115.37,7.374,9.2356,0.6403
1.8018,246.44,116.15,7.382,9.2218,0.638
1.794,245.64,116.3,7.355,9.1985,0.6416
1.79,244.65,115.81,7.3575,9.1671,0.6406
1.8087,244.9,116.24,7.396,9.152,0.6395
1.784,244.82,116.3,7.4065,9.1999,0.6384
1.7845,245.4,116.13,7.3895,9.1325,0.6382
1.7666,246.05,115.46,7.3805,9.134,0.64
1.7782,246.01,116.02,7.381,9.1425,0.6394
1.783,245.5,116.04,7.3945,9.1585,0.6383
1.78,245.2,116.35,7.3815,9.1731,0.6352
1.7803,244.63,116.08,7.3925,9.2303,0.6343
1.8016,245.18,116.23,7.4375,9.2835,0.6363
1.8262,246.05,117.05,7.4425,9.344,0.6354
1.832,245.19,117.34,7.3815,9.2951,0.6354
1.8222,244.88,117.32,7.3535,9.2255,0.6325
1.7935,243.95,116.79,7.358,9.2039,0.6287
1.775,243.25,116.44,7.391,9.2085,0.6281
1.7826,243.59,116.93,7.379,9.1675,0.6264
1.7646,243.51,117.17,7.371,9.1761,0.6274
1.7793,243.81,117.94,7.359,9.2475,0.6286
1.7692,243.45,118.3,7.3415,9.1035,0.628
1.7683,243.27,118.64,7.356,9.0978,0.6297
1.7764,243.66,118.5,7.3645,9.1281,0.6316
1.7778,242.95,118.85,7.3245,9.0955,0.6314
1.7919,243.12,120.66,7.362,9.0937,0.6333
1.7982,243.15,121.04,7.355,9.058,0.6319
1.8087,243.52,121.02,7.321,9.089,0.6311
1.7913,243.95,119.99,7.3145,9.1035,0.6271
1.8021,243.67,120.22,7.322,9.1176,0.6274
1.7948,243.11,119.81,7.3325,9.106,0.6282
1.8101,243.8,119.67,7.3415,9.1516,0.6295
1.8185,243.27,120.67,7.315,9.108,0.6277
1.8067,243.6,120.94,7.302,9.07,0.6279
1.8179,243.58,121.47,7.3125,9.096,0.6296
1.8024,244.05,121.11,7.304,9.0906,0.629
1.7832,244.53,121.84,7.2885,9.0918,0.6265
1.7878,245.02,121.73,7.276,9.1565,0.6266
1.7925,245.95,121.89,7.262,9.1561,0.6318
1.7998,245.09,122.08,7.305,9.172,0.6317
1.7981,244.93,122.53,7.283,9.111,0.6321
1.8063,245.2,122.57,7.2815,9.095,0.6322
1.7948,245.27,122.56,7.2975,9.0695,0.631
1.7947,245.34,121.86,7.3095,9.0681,0.6318
1.774,245.4,121.34,7.412,9.0947,0.6267
1.7665,244.91,121.83,7.4015,9.096,0.6283
1.7616,242.48,121.53,7.398,9.0678,0.63
1.7643,242.25,122.32,7.434,9.109,0.6315
1.7668,241.83,121.17,7.4015,9.14,0.6313
1.7543,241.94,121.08,7.374,9.135,0.6295
1.7572,241.12,121.21,7.358,9.1286,0.6286
1.7501,241.41,121.53,7.371,9.082,0.6299
1.7579,241.48,121.21,7.391,9.1056,0.6307
1.7741,241.28,120.65,7.39,9.0834,0.6317
1.7813,241.33,121.04,7.365,9.09,0.6326
1.7915,241.4,121.58,7.3685,9.0888,0.6368
1.7726,241.1,121.85,7.3705,9.1424,0.639
1.7815,241.14,121.95,7.3715,9.1423,0.6413
1.7756,239.65,121.84,7.3595,9.1275,0.6394
1.7758,239.15,121.98,7.3545,9.1393,0.6384
1.7861,239.03,121.95,7.332,9.1215,0.6375
1.8075,238.21,120.9,7.2975,9.097,0.637
1.7952,238.52,120.61,7.3025,9.0833,0.6358
1.7983,238.5,120.8,7.321,9.0728,0.6343
1.7935,237.86,120.85,7.3145,9.0973,0.6355
1.7805,237.3,121.05,7.3025,9.0835,0.6362
1.7896,237.03,121.98,7.3135,9.0725,0.6374
1.7988,236.62,122.75,7.327,9.0723,0.6373
1.7915,237.67,122.67,7.331,9.078,0.6364
1.7845,237.53,122.75,7.3155,9.0633,0.6356
1.7788,236.98,122.88,7.3045,9.0181,0.6335
1.7692,236.98,121.84,7.304,9.0117,0.6326
1.7698,236.05,120.92,7.264,9.0354,0.6345
1.7829,236.76,120.57,7.275,9.0608,0.6413
1.7806,237.95,121.37,7.288,9.0654,0.6395
1.7755,237.72,121.56,7.282,9.0453,0.6395
1.7649,236.85,123.14,7.2625,9.0071,0.6382
1.7827,237.38,124.08,7.275,9.0365,0.6374
1.7854,237.21,124.75,7.2655,9.0543,0.6367
1.7813,236.15,125.18,7.2745,9.0582,0.6364
1.7847,236.58,125.02,7.264,9.0525,0.6377
1.7927,236.36,123.65,7.308,9.0655,0.6393
1.7946,236.51,124.66,7.328,9.1095,0.6416
1.7955,236.06,124.18,7.344,9.0695,0.6406
1.7942,235.92,124.55,7.335,9.107,0.6437
1.805,235.68,124.46,7.3295,9.1205,0.6445
1.807,235.65,123.64,7.31,9.1288,0.6426
1.814,235.13,124.4,7.2945,9.094,0.6445
1.812,235.23,124.35,7.313,9.09,0.6403
1.8165,235.39,123.87,7.285,9.097,0.6403
1.8145,235.98,123.79,7.287,9.0975,0.6399
1.829,235.75,123.35,7.2895,9.138,0.6446
1.8262,235.61,123.78,7.2763,9.1326,0.6467
1.8446,235.73,124.45,7.306,9.155,0.648
1.8515,235.95,124.27,7.2725,9.1558,0.65
1.8556,236.29,124.39,7.2756,9.1528,0.6505
1.8554,235.78,124.4,7.267,9.127,0.652
1.844,235.46,124.56,7.236,9.106,0.65
1.8281,235.46,124.4,7.242,9.0913,0.6495
1.816,235.31,124.82,7.237,9.067,0.6496
1.8132,235.3,124.9,7.2225,9.0702,0.6495
1.8172,235.11,125.16,7.2255,9.111,0.653
1.8107,235.09,125.72,7.252,9.1385,0.6534
1.8109,234.94,125.74,7.2895,9.1722,0.6568
1.8115,234.94,125.04,7.3285,9.1705,0.6583
1.8024,234.91,124.47,7.302,9.172,0.6592
1.8028,234.72,124.74,7.266,9.18,0.6585
1.8012,246.2,125.34,7.274,9.175,0.6582
1.8056,244.31,125.96,7.318,9.1968,0.6635
1.8134,246.74,126.5,7.343,9.1887,0.6626
1.8273,248.53,126.51,7.389,9.2535,0.6645
1.819,248.85,126.99,7.406,9.2458,0.6638
1.8235,246.87,127.4,7.457,9.2503,0.6606
1.8338,245.21,127.92,7.4555,9.246,0.6647
1.8367,244.22,128.08,7.47,9.2228,0.6597
1.8395,243.23,128.49,7.458,9.2135,0.6599
1.8285,243.5,128.23,7.4315,9.187,0.6534
1.8397,243.98,129.17,7.452,9.2285,0.6557
1.8405,243.73,129.27,7.479,9.2334,0.6553
1.8361,244.11,129.95,7.487,9.2427,0.6571
1.8425,245.25,130.3,7.5635,9.2489,0.6607
1.8312,245.44,129.62,7.5145,9.1989,0.6592
1.8281,246.67,129.49,7.469,9.1617,0.6628
1.823,246.28,130.23,7.4625,9.1594,0.6614
1.818,245.04,130.04,7.466,9.145,0.6606
1.813,244.95,129.96,7.4615,9.1338,0.6638
1.8216,244.32,130.38,7.4935,9.1065,0.6644
1.8186,245.45,130.04,7.5355,9.1066,0.6677
1.8178,245.55,128.83,7.515,9.1045,0.6704
1.814,245.72,127.32,7.5215,9.1215,0.6713
1.808,246.23,127.56,7.5255,9.1013,0.6727
1.8059,246.11,127.84,7.536,9.1073,0.6744
1.8081,246.46,128.7,7.547,9.13,0.679
1.781,245.31,126.35,7.553,9.1248,0.68
1.7789,244.56,126.22,7.6295,9.118,0.684
1.7757,244.29,126.21,7.6115,9.0996,0.6822
1.7802,243.29,126.45,7.7825,9.1203,0.6842
1.7816,243.64,127.32,7.725,9.1458,0.6842
1.7653,244.45,127.42,7.7335,9.193,0.6853
1.7808,245.31,128.38,7.777,9.1925,0.6899
1.7778,245.33,128.77,7.7775,9.189,0.6876
1.784,245.06,128.73,7.831,9.2155,0.6831
1.7898,245.24,128.68,7.883,9.2395,0.6867
1.7948,245.4,128.71,7.934,9.2517,0.6905
1.8143,245.45,129.34,7.934,9.2955,0.6908
1.8446,245.27,129.21,7.8665,9.3133,0.6835
1.8346,244.95,128.6,7.8195,9.2735,0.6771
1.8075,244.65,127.7,7.776,9.2055,0.6777
1.8011,244.85,127.16,7.804,9.2223,0.6827
1.7973,245.25,126.06,7.856,9.2367,0.6774
1.7863,245.33,126.08,7.8785,9.196,0.6787
1.788,246.09,127.47,7.92,9.1857,0.677
1.7831,246.42,127.82,7.8615,9.164,0.6757
1.7928,246.33,128.28,7.852,9.1875,0.6763
1.7908,246.16,128.22,7.829,9.238,0.6784
1.783,246.26,128.19,7.8135,9.217,0.6779
1.7852,246.38,128.39,7.8415,9.2527,0.6811
1.7853,246.98,128.89,7.857,9.2271,0.6865
1.8076,246.35,129.18,7.8995,9.2608,0.6896
1.8048,248.06,128.8,7.925,9.2284,0.6908
1.8023,247.52,128.72,7.833,9.2468,0.6877
1.7936,246.21,127.85,7.825,9.2017,0.6853
1.7842,245.43,128.7,7.798,9.1982,0.6844
1.7812,244.84,127.82,7.772,9.1755,0.6828
1.7768,244.73,127.9,7.7735,9.1691,0.6872
1.7807,244.35,128.86,7.802,9.1377,0.6902
1.7837,244.2,129.18,7.886,9.1458,0.69
1.7765,244.46,129.13,7.9,9.138,0.6842
1.7826,245.52,129.68,7.876,9.1275,0.6827
1.7831,245.12,129.79,7.879,9.137,0.6857
1.7724,245.65,130.39,7.839,9.1572,0.6877
1.7789,245.37,130.29,7.836,9.1655,0.6917
1.7659,246.24,131.37,7.8475,9.141,0.6961
1.7646,245.63,131.63,7.835,9.1115,0.6935
1.7819,245.81,132.03,7.831,9.1102,0.6915
1.782,245.73,132.73,7.812,9.1095,0.6914
1.7759,245.55,132.54,7.756,9.1337,0.6914
1.7726,245.68,131.91,7.7705,9.1305,0.6891
1.7822,245.73,132.98,7.838,9.1175,0.697
1.7802,245.85,133.4,7.8535,9.1168,0.6998
1.7746,245.01,133.46,7.866,9.0833,0.6996
1.7801,245.11,133.92,7.883,9.0968,0.7044
1.7805,244.89,133.62,7.8675,9.108,0.7121
1.7839,244.97,132.78,7.86,9.116,0.7119
1.7806,245.13,134.76,7.8655,9.1748,0.7156
1.7868,245.18,135.05,7.8755,9.194,0.7197
1.782,244.68,134.41,7.874,9.185,0.7165
1.781,244.81,134.25,7.873,9.1785,0.7118
1.7756,244.75,132.85,7.849,9.1578,0.7072
1.7736,245.12,133.53,7.854,9.149,0.7065
1.7808,245.21,135.93,7.92,9.1869,0.7132
1.7756,245.11,136.36,7.9305,9.17,0.713
1.7775,245.88,136.95,7.8415,9.183,0.7116
1.7795,245.85,137.1,7.8475,9.1478,0.7163
1.786,246.07,137.87,7.879,9.1679,0.7201
1.7953,245.98,138.53,7.868,9.1984,0.721
1.8041,245.82,138.93,7.86,9.193,0.7235
1.8008,246.38,138.86,7.8755,9.1535,0.7184
1.8256,249.92,139.53,7.8793,9.1625,0.7158
1.8136,249.73,140.31,7.8785,9.15,0.7196
1.7906,252.12,138.65,7.8695,9.1128,0.7175
1.7806,253.75,139.45,7.965,9.125,0.7173
1.7582,263.5,138.6,8.078,9.1055,0.7172
1.7678,263.53,139.28,8.137,9.126,0.7121
1.7822,260.5,139.28,8.1485,9.1254,0.7093
1.7775,261.55,138.62,8.1565,9.1152,0.7083
1.7768,259.4,138.22,8.2175,9.1157,0.7065
1.778,257.75,138.4,8.175,9.106,0.7047
1.7696,258.45,138.14,8.195,9.0914,0.7022
1.768,259.71,138.44,8.1515,9.068,0.7053
1.773,261.13,139.43,8.21,9.094,0.7046
1.764,262.7,139.34,8.212,9.072,0.702
1.7459,265.87,138.69,8.178,9.068,0.6965
1.7425,266.08,138.52,8.1295,9.0773,0.6965
1.737,262.07,137.94,8.158,9.0675,0.6966
1.7368,260.3,136.19,8.1775,9.0965,0.6947
1.7381,260.54,136.33,8.169,9.145,0.694
1.7271,260.73,135.68,8.24,9.1535,0.6915
1.7174,262.97,135.78,8.2655,9.1855,0.687
1.7166,266.25,136.76,8.273,9.1828,0.6901
1.7116,266.61,137.32,8.2935,9.2488,0.6932
1.7081,264.63,138.2,8.3075,9.197,0.696
1.702,263.14,137.36,8.242,9.1831,0.6937
1.6863,263.31,135.73,8.271,9.1745,0.6896
1.6863,263.98,135.4,8.267,9.1783,0.6867
1.6675,263.02,134.12,8.287,9.202,0.6886
1.695,262.55,133.78,8.286,9.1575,0.6907
1.7193,262.05,134.1,8.263,9.143,0.6958
1.7357,261.73,133.51,8.32,9.1255,0.6981
1.7194,261.58,133.25,8.319,9.135,0.6918
1.7116,260.79,132.93,8.322,9.1323,0.695
1.717,261.05,132.81,8.3575,9.1465,0.7033
1.7102,262.05,131.93,8.359,9.1542,0.7013
1.7152,264.65,133.29,8.349,9.2037,0.7051
1.7303,267.35,133.49,8.3595,9.2374,0.7045
1.7416,265.95,133.84,8.358,9.2763,0.7089
1.7372,266.32,135.18,8.343,9.2718,0.7083
1.74,267.64,135.67,8.321,9.244,0.711
1.7282,265.98,136.5,8.27,9.1977,0.7116
1.7308,264.06,136.46,8.2285,9.1925,0.711
1.7322,263.94,137.23,8.208,9.1666,0.7068
1.726,262.67,137.26,8.248,9.184,0.7062
1.7373,263.38,136.97,8.2065,9.178,0.7044
1.7455,263.93,135.72,8.161,9.188,0.7019
1.7258,264.25,134.63,8.157,9.2302,0.6962
1.7374,263.03,136.28,8.171,9.2597,0.7015
1.758,262.05,136.49,8.227,9.22,0.7045
1.7572,261.95,136.95,8.182,9.1997,0.705
1.7527,261.32,136.11,8.165,9.2085,0.7064
1.7384,259.24,134.83,8.1625,9.202,0.7034
1.7214,258.5,133.86,8.202,9.2355,0.7055
1.7195,258.64,134.04,8.2425,9.2671,0.7065
1.7217,258.68,134.25,8.281,9.2467,0.7032
1.718,260.55,134.76,8.315,9.2273,0.7012
1.7089,260.92,134,8.2825,9.2322,0.7037
1.6965,261.36,133.93,8.3045,9.2411,0.7033
1.6925,259.74,132.32,8.332,9.3148,0.6991
1.6911,259.8,131.46,8.306,9.2533,0.6974
1.6716,258.65,129.76,8.2765,9.2093,0.6944
1.6758,257.39,128.37,8.286,9.2089,0.6919
1.6723,256.21,127.85,8.297,9.2435,0.6909
1.6809,256.55,127.06,8.323,9.278,0.6918
1.7039,257.86,128.62,8.333,9.267,0.6943
1.6941,256.6,127.11,8.2785,9.22,0.6904
1.7012,257.46,127.26,8.247,9.23,0.6926
1.6981,257.48,127.58,8.225,9.1713,0.6981
1.692,257.58,126.94,8.225,9.181,0.6921
1.6938,256.88,125.4,8.235,9.149,0.69
1.6943,255.85,126.39,8.1925,9.13,0.6887
1.6993,255.55,127.64,8.2365,9.12,0.6919
1.7129,256.36,129.41,8.2475,9.1285,0.6985
1.7038,256.22,129.57,8.256,9.1328,0.7025
1.6982,256.34,130.51,8.283,9.1555,0.703
1.7025,255.4,131.33,8.26,9.084,0.7036
1.6934,255.41,130.79,8.2585,9.095,0.701
1.7004,254.85,132.54,8.277,9.142,0.7038
1.6937,254.89,130.64,8.27,9.1464,0.7048
1.6894,255.2,130.58,8.209,9.0783,0.7002
1.691,256.24,130.15,8.176,9.0318,0.699
1.6897,255.35,129.92,8.157,9.0375,0.6951
1.6895,255.04,128.36,8.17,9.063,0.6968
1.693,254.7,127.93,8.1385,9.03,0.6936
1.694,253.42,127.81,8.078,8.9385,0.693
1.6852,254.2,128.35,8.0445,8.8848,0.6934
1.7018,254.58,128.77,8.083,8.934,0.6916
1.7023,253.71,127.36,8.0875,8.9038,0.6931
1.7101,254.96,128.8,8.184,8.9625,0.6986
1.7134,253.95,129.64,8.2325,9.085,0.7047
1.7131,253.85,129.68,8.181,8.988,0.7015
1.7081,253.81,129.29,8.158,8.9883,0.7002
1.7013,253.35,128.66,8.164,8.971,0.6952
1.7071,253.96,129.92,8.203,8.9682,0.7046
1.7038,253.99,129.36,8.213,8.9845,0.7083
1.7039,253.7,128.63,8.219,8.9784,0.7087
1.7056,254.45,127.85,8.227,9.002,0.7085
1.6948,256.7,126.82,8.225,9.006,0.7044
1.6996,255.48,127.79,8.2375,8.959,0.702
1.6936,256.34,127.71,8.2655,8.9634,0.699
1.6882,257.35,127.45,8.25,8.942,0.6947
1.6813,256.65,127.2,8.2445,8.986,0.6936
1.6805,256.45,128.21,8.273,9.0645,0.6938
1.6784,256.45,128.07,8.274,9.0435,0.6958
1.665,255.65,128.14,8.253,9.0255,0.695
1.6864,256.66,129.32,8.235,9.0355,0.6965
1.683,258.25,129.02,8.24,9.0505,0.6948
1.6694,258,127.37,8.25,9.0705,0.6935
1.6602,256.2,126.69,8.236,9.0377,0.6904
1.6557,256.11,126.21,8.212,9.0285,0.6858
1.6549,256.2,126.97,8.226,9.0152,0.6883
1.6464,259.26,126.72,8.211,9.0474,0.6863
1.6381,262.8,127.71,8.227,9.073,0.6836
1.6369,260.43,126.47,8.233,9.0548,0.684
1.6171,257.15,125.7,8.248,9.0338,0.6838
1.612,257.73,125.9,8.2425,9.003,0.683
1.6147,257.7,125.82,8.234,8.969,0.6871
1.6079,257.3,124.8,8.232,8.9757,0.6866
1.6111,257.61,125.03,8.21,8.988,0.6896
1.621,258.65,126.42,8.201,8.9777,0.693
1.6244,258.55,126.69,8.182,8.9525,0.6938
1.6355,257.88,127.42,8.215,8.957,0.697
1.6467,257.7,128.56,8.205,8.9665,0.6983
1.6412,257.2,128.17,8.189,8.9665,0.697
1.6484,258.35,129.82,8.186,8.9969,0.7021
1.6463,258.11,129.66,8.173,8.974,0.6994
1.645,257.8,129.37,8.1625,8.9625,0.6983
1.6393,258.79,128.93,8.1645,8.962,0.696
1.6407,262.1,129.41,8.157,8.9847,0.6942
1.6422,261.3,129.67,8.15,8.9955,0.6968
1.6477,264.29,129.99,8.1645,9.0373,0.6947
1.6583,264.74,131.24,8.1625,9.0475,0.6971
1.6535,263.05,131.41,8.175,9.0187,0.6965
1.6444,273.92,130.86,8.1635,9.0117,0.6958
1.6458,272.7,131.25,8.1425,8.987,0.6999
1.6421,270.3,130.67,8.0905,8.963,0.7005
1.6455,266.45,130.79,8.08,8.9523,0.7021
1.6495,267.84,131.4,8.0795,8.9327,0.7043
1.6524,267.2,131.45,8.11,8.9398,0.7034
1.6528,263.69,132.33,8.13,8.937,0.7024
1.6508,262.4,131.87,8.1735,8.9817,0.698
1.6493,263.25,132.14,8.185,8.9655,0.7013
1.6525,263.95,132.09,8.203,8.992,0.7013
1.657,264.35,132.74,8.222,9.04,0.7062
1.6655,263.75,132.76,8.275,9.033,0.703
1.684,263.72,133.38,8.335,9.0825,0.7016
1.6835,262.49,133.63,8.332,9.1085,0.7029
1.692,262.75,133.53,8.327,9.0927,0.7054
1.6878,262.63,133.19,8.3715,9.1036,0.7025
1.6727,260.36,133.12,8.4198,9.0905,0.7017
1.6801,260.63,133.68,8.434,9.0891,0.704
1.6742,261.69,133.72,8.421,9.077,0.7036
1.6802,262.5,135.05,8.4141,9.08,0.7048
1.6683,261.93,134.72,8.3935,9.05,0.7055
1.6541,261.48,134.53,8.406,9.068,0.7026
1.6539,260.23,135.46,8.566,9.1278,0.6998
1.651,262.55,134.63,8.5695,9.1053,0.6978
1.6396,263.65,134.11,8.608,9.0873,0.6946
1.6443,268.2,136.18,8.6475,9.1119,0.6944
1.6501,270.25,136.57,8.6065,9.1115,0.6925
1.6357,268.2,135.64,8.569,9.1342,0.6897
1.632,265.85,134.7,8.567,9.1755,0.6902
1.6359,267.25,134.09,8.5415,9.164,0.6916
1.6257,267.07,132.47,8.601,9.1902,0.6884
1.6323,264.6,132.43,8.6065,9.176,0.6928
1.6374,264.2,134.43,8.6045,9.1631,0.6913
1.6328,263.85,134.86,8.64,9.1639,0.69
1.6328,262.63,135.27,8.543,9.106,0.6888
1.635,262.8,134.48,8.593,9.1436,0.6891
1.6254,262.26,133.43,8.614,9.1513,0.6888
1.6197,262.65,132.51,8.601,9.1591,0.6908
1.6209,263.2,133.05,8.682,9.1255,0.6868
1.6198,263.36,132.13,8.764,9.164,0.685
1.6396,264.55,131.06,8.719,9.194,0.6846
1.639,264.1,131.57,8.6975,9.2182,0.6834
1.642,266.6,132.82,8.683,9.1767,0.6836
1.6413,264.53,132.04,8.721,9.1838,0.6819
1.6471,266.85,132.73,8.737,9.1759,0.6854
